Синичкин А.В.,01.08.1998,28.12.1999,"CFO","senior",150, "financial",TRUE
Воробьев Б.Г,30.09.1985,13.01.1998,"chief IT ","senior",150, "IT",TRUE
Соколов В.Д,17.06.1982,19.10.1999,"CCO","senior",150, "sales",FALSE
Орлов Г.Е,18.09.1970,05.11.1998,"DE", "middle",99, "IT",TRUE
Воронова Д.Ж,14.04.1969,08.09.1999,"chief sales dep", "lead",70, "sales",TRUE
Уткин Е.З,08.10.1977,08.06.1997,"CPA ", "lead",75, "financial",TRUE
Гусева Ж.И,04.08.1985,26.04.1998,"manager", "middle",98, "sales",FALSE
Галкин З.К,29.10.1975,26.01.1997,"QA", "junior",48, "IT",TRUE
Чайкина И.Л,13.11.1979,31.03.1997,"accountant", "middle",98, "financial",FALSE
Сорокин К.М,30.05.1997,17.07.1998,"accountant", "junior",48, "financial",TRUE
